conversation_id,date,agent_version,scenario,customer_segment,intent,conversion_stage,purchase_intent_level,escalation_needed,escalation_done,agent_action,issue_category,turn_count,conversation_text,resolved,csat,manual_score,risk_flag
CS0001,2026-05-20,v1_baseline,套餐对比,愤怒用户,compare_plans,consideration,high,false,false,answer_only,pricing,7,用户: 标准版和专业版差别是什么？我们 20 人客服团队想买。\nAgent: 专业版功能更多。\n用户: 哪个适合我们？\nAgent: 看需求。,false,2,31,false
CS0002,2026-05-21,v2_prompt_optimized,优惠券咨询,企业用户,apply_coupon,checkout,high,false,false,offer_coupon,coupon,7,用户: 我准备下单，有没有优惠券？\nAgent: 可以先领取新人券和专业版满减券。\n用户: 我想买专业版。\nAgent: 建议先领券再进结算页，系统会自动选择最优券。,true,3,77,false
CS0003,2026-05-22,v3_tool_augmented,账户异常,高意向线索,recover_account,retention,low,true,true,transfer_human,account,3,用户: 我的账号突然登录不上了。\nAgent: 我识别到账户异常需要人工核验。\n用户: 好。\nAgent: 已转接账号安全队列，并保留当前问题摘要。,true,4,91,false
CS0004,2026-05-23,v1_baseline,发票咨询,愤怒用户,invoice_request,post_purchase,medium,false,false,answer_only,invoice,7,用户: 可以开企业发票吗？\nAgent: 可以。\n用户: 需要什么信息？\nAgent: 填信息就行。,false,1,26,false
CS0005,2026-05-24,v2_prompt_optimized,风险承诺,价格敏感用户,ask_guarantee,consideration,high,false,false,structured_answer,sales_consulting,6,用户: 买了以后一定能提升转化吗？\nAgent: 不建议承诺固定增长。更合理的是先看咨询量、知识库质量和人工承接流程。\n用户: 那怎么评估？\nAgent: 可以用试点数据看解决率、转人工率和线索推进率。,true,4,71,false
CS0006,2026-05-25,v3_tool_augmented,发票咨询,价格敏感用户,invoice_request,post_purchase,medium,false,false,knowledge_lookup,invoice,8,用户: 可以开企业发票吗？\nAgent: 我查到企业发票需要公司抬头、税号、订单号和邮箱。\n用户: 可以补开上个月的吗？\nAgent: 可以申请补开，但需要订单仍在可开票周期内。,true,5,97,false
CS0007,2026-05-26,v1_baseline,售前功能咨询,愤怒用户,ask_feature,awareness,medium,false,false,answer_only,sales_consulting,7,用户: 你们的 AI 客服能接企业微信吗？\nAgent: 可以。\n用户: 能自动识别退款和投诉吗？\nAgent: 可以的。,false,2,38,false
CS0008,2026-05-27,v2_prompt_optimized,售前功能咨询,新访客,ask_feature,awareness,medium,false,false,recommend_plan,sales_consulting,7,用户: 你们的 AI 客服能接企业微信吗？\nAgent: 可以。\n用户: 能自动识别退款和投诉吗？\nAgent: 可以的。,true,5,77,false
CS0009,2026-05-28,v3_tool_augmented,套餐对比,新访客,compare_plans,consideration,high,false,false,knowledge_lookup,pricing,3,用户: 标准版和专业版差别是什么？我们 20 人客服团队想买。\nAgent: 我查到专业版更适合多坐席协同、知识库分权和质检看板。\n用户: 有企业优惠吗？\nAgent: 我可以生成试用申请，并提示销售顾问跟进企业优惠。,false,5,94,false
CS0010,2026-05-29,v1_baseline,退款咨询,高意向线索,refund_policy,post_purchase,low,false,false,answer_only,refund,8,用户: 我买错套餐了能退款吗？\nAgent: 可以退款。\n用户: 在哪里退？多久到？\nAgent: 按平台规则处理。,false,2,37,false
