conversation_id,date,agent_version,scenario,customer_segment,intent,conversion_stage,purchase_intent_level,escalation_needed,escalation_done,agent_action,issue_category,turn_count,conversation_text,resolved,csat,manual_score,risk_flag
CS0001,2026-06-01,v1_baseline,售前功能咨询,新访客,ask_feature,awareness,medium,false,false,answer_only,sales_consulting,4,"用户: 你们的 AI 客服能不能接企业微信？\nAgent: 可以接。\n用户: 那能不能自动识别退款和投诉？\nAgent: 可以的。",false,2,58,false
CS0002,2026-06-01,v2_prompt_optimized,售前功能咨询,新访客,ask_feature,awareness,medium,false,false,structured_answer,sales_consulting,4,"用户: 你们的 AI 客服能不能接企业微信？\nAgent: 支持企业微信场景。常见能力包括意图识别、自动回复、知识库问答和人工转接。你更关注售前线索还是售后问题？\n用户: 主要是售后。\nAgent: 售后建议先接入订单、退款、投诉三类知识，并配置人工升级规则。",true,4,84,false
CS0003,2026-06-01,v3_tool_augmented,售前功能咨询,新访客,ask_feature,consideration,medium,false,false,knowledge_lookup,sales_consulting,5,"用户: 你们的 AI 客服能不能接企业微信？\nAgent: 我查到当前方案支持企业微信会话接入、知识库检索、订单状态查询和人工客服转接。\n用户: 售后量大可以先试吗？\nAgent: 可以先用售后 FAQ 和退款工单做 7 天试点，我建议先接入退款、物流、投诉三类高频问题。",true,5,92,false
CS0004,2026-06-02,v1_baseline,退款咨询,已购用户,refund_policy,post_purchase,low,false,false,answer_only,refund,3,"用户: 我买错套餐了能退款吗？\nAgent: 可以退款。\n用户: 在哪里退？多久到？\nAgent: 按平台规则处理。",false,2,52,false
CS0005,2026-06-02,v2_prompt_optimized,退款咨询,已购用户,refund_policy,post_purchase,low,false,false,structured_answer,refund,4,"用户: 我买错套餐了能退款吗？\nAgent: 可以帮你判断。请先确认购买时间和是否已经使用权益。一般退款需要满足条件、在订单页提交入口、审核后原路退回。\n用户: 昨天买的没用。\nAgent: 这种情况通常更容易通过，你可以在订单详情页提交退款申请。",true,4,86,false
CS0006,2026-06-02,v3_tool_augmented,退款咨询,已购用户,refund_policy,post_purchase,low,false,false,knowledge_lookup,refund,5,"用户: 我买错套餐了能退款吗？\nAgent: 我查到退款规则需要同时看购买渠道、购买时间、权益使用情况和发票状态。\n用户: 昨天买的没用。\nAgent: 建议在订单详情页提交退款申请，审核通常 1 到 3 个工作日，退款原路返回；如果开过发票，需要先作废发票。",true,5,94,false
CS0007,2026-06-03,v1_baseline,套餐对比,高意向线索,compare_plans,consideration,high,false,false,answer_only,pricing,5,"用户: 标准版和专业版差别是什么？我们 20 人客服团队想买。\nAgent: 专业版功能更多。\n用户: 哪个适合我们？\nAgent: 看你们需求。",false,2,55,false
CS0008,2026-06-03,v2_prompt_optimized,套餐对比,高意向线索,compare_plans,consideration,high,false,false,recommend_plan,pricing,5,"用户: 标准版和专业版差别是什么？我们 20 人客服团队想买。\nAgent: 如果是 20 人客服团队，我建议看专业版。它更适合多坐席、知识库维护、会话质检和转人工配置。\n用户: 能试用吗？\nAgent: 可以先用退款和售前咨询两个场景做试点，再决定是否升级。",true,4,88,false
CS0009,2026-06-03,v3_tool_augmented,套餐对比,高意向线索,compare_plans,checkout,high,false,false,recommend_plan,pricing,6,"用户: 标准版和专业版差别是什么？我们 20 人客服团队想买。\nAgent: 我根据 20 人团队规模建议专业版，重点能力是多坐席协同、知识库权限、转人工规则和质检看板。\n用户: 最近有优惠吗？\nAgent: 我可以给你生成试用申请入口，并提示销售顾问确认企业优惠和合同方案。",true,5,95,false
CS0010,2026-06-04,v1_baseline,投诉升级,愤怒用户,complaint_escalation,retention,low,true,false,repeat_policy,complaint,7,"用户: 我已经催三次了还没人处理。\nAgent: 请耐心等待。\n用户: 你一直让我等，我要投诉。\nAgent: 按规则需要等待。\n用户: 我要人工。\nAgent: 请继续等待。",false,1,38,true
CS0011,2026-06-04,v2_prompt_optimized,投诉升级,愤怒用户,complaint_escalation,retention,low,true,false,structured_answer,complaint,6,"用户: 我已经催三次了还没人处理。\nAgent: 很抱歉让你重复等待。我先帮你确认问题类型和订单号。\n用户: 我现在就要人工。\nAgent: 我理解你的着急，但还需要先收集订单信息。",false,2,62,false
CS0012,2026-06-04,v3_tool_augmented,投诉升级,愤怒用户,complaint_escalation,retention,low,true,true,transfer_human,complaint,5,"用户: 我已经催三次了还没人处理。\nAgent: 抱歉让你多次催促。我识别到这是投诉升级场景，会优先转人工处理。\n用户: 好。\nAgent: 已为你转接人工客服，并附上前序问题摘要和催办次数。",true,5,93,false
CS0013,2026-06-05,v1_baseline,物流查询,已购用户,track_order,post_purchase,low,false,false,answer_only,logistics,4,"用户: 我的货怎么还没到？\nAgent: 物流在路上。\n用户: 到哪里了？\nAgent: 请等一下。",false,2,56,false
CS0014,2026-06-05,v2_prompt_optimized,物流查询,已购用户,track_order,post_purchase,low,false,false,ask_clarifying,logistics,5,"用户: 我的货怎么还没到？\nAgent: 我来帮你查。请提供订单号或手机号后四位。\n用户: 订单 8831。\nAgent: 收到，我会按订单号查询物流状态，并说明预计送达时间。",true,4,82,false
CS0015,2026-06-05,v3_tool_augmented,物流查询,已购用户,track_order,post_purchase,low,false,false,knowledge_lookup,logistics,5,"用户: 我的货怎么还没到？\nAgent: 我查到订单 8831 已到达上海分拨中心，预计明天派送。\n用户: 如果明天还不到呢？\nAgent: 如果超过预计时间，我会自动生成催派工单，并保留当前物流信息。",true,5,91,false
CS0016,2026-06-06,v1_baseline,优惠券咨询,价格敏感用户,apply_coupon,checkout,high,false,false,answer_only,coupon,4,"用户: 我准备下单，有没有优惠券？\nAgent: 有活动。\n用户: 在哪里领？\nAgent: 活动页。",false,3,60,false
CS0017,2026-06-06,v2_prompt_optimized,优惠券咨询,价格敏感用户,apply_coupon,checkout,high,false,false,offer_coupon,coupon,4,"用户: 我准备下单，有没有优惠券？\nAgent: 有的。如果你现在下单，可以先查看活动页新人券和满减券。\n用户: 我想买专业版。\nAgent: 建议先领取专业版满减券，再确认套餐权益和到期时间。",true,4,87,false
CS0018,2026-06-06,v3_tool_augmented,优惠券咨询,价格敏感用户,apply_coupon,checkout,high,false,false,offer_coupon,coupon,5,"用户: 我准备下单，有没有优惠券？\nAgent: 我查到你当前可用新人券和专业版满减券，专业版下单前可叠加使用一张。\n用户: 怎么用？\nAgent: 我可以引导你到结算页，系统会自动选择最优券，并提示最终应付金额。",true,5,94,false
CS0019,2026-06-07,v1_baseline,账户异常,老用户,recover_account,retention,low,true,false,answer_only,account,5,"用户: 我的账号突然登录不上了。\nAgent: 重试一下。\n用户: 重试很多次了。\nAgent: 换个网络。",false,1,45,false
CS0020,2026-06-07,v2_prompt_optimized,账户异常,老用户,recover_account,retention,low,true,false,structured_answer,account,6,"用户: 我的账号突然登录不上了。\nAgent: 我先帮你判断。请确认是否更换手机号、是否收到风险提示、是否能接收验证码。\n用户: 收不到验证码。\nAgent: 可能是短信通道或账号风控问题，我建议先等待短信重发。",false,3,70,false
